County,Count,FIPS
Adams,4,28001
Alcorn,0,28003
Amite,2,28005
Attala,3,28007
Benton,0,28009
Bolivar,4,28011
Calhoun,1,28013
Carroll,3,28015
Chickasaw,0,28017
Choctaw,0,28019
Claiborne,1,28021
Clarke,5,28023
Clay,1,28025
Coahoma,3,28027
Copiah,7,28029
Covington,3,28031
Desoto,1,28033
Forrest,3,28035
Franklin,2,28037
George,0,28039
Greene,2,28041
Grenada,7,28043
Hancock,0,28045
Harrison,2,28047
Hinds,38,28049
Holmes,3,28051
Humphreys,3,28053
Issaquena,1,28055
Itawamba,0,28057
Jackson,1,28059
Jasper,3,28061
Jefferson,3,28063
Jefferson Davis,1,28065
Jones,5,28067
Kemper,1,28069
Lafayette,0,28071
Lamar,1,28073
Lauderdale,17,28075
Lawrence,1,28077
Leake,1,28079
Lee,3,28081
Leflore,14,28083
Lincoln,7,28085
Lowndes,4,28087
Madison,20,28089
Marion,3,28091
Marshall,0,28093
Monroe,0,28095
Montgomery,5,28097
Neshoba,5,28099
Newton,2,28101
Noxubee,0,28103
Oktibbeha,3,28105
Panola,0,28107
Pearl River,3,28109
Perry,1,28111
Pike,14,28113
Pontotoc,0,28115
Prentiss,0,28117
Quitman,0,28119
Rankin,13,28121
Scott,6,28123
Sharkey,2,28125
Simpson,7,28127
Smith,1,28129
Stone,1,28131
Sunflower,6,28133
Tallahatchie,1,28135
Tate,0,28137
Tippah,0,28139
Tishomingo,0,28141
Tunica,0,28143
Union,0,28145
Walthall,1,28147
Warren,10,28149
Washington,17,28151
Wayne,1,28153
Webster,0,28155
Wilkinson,2,28157
Winston,1,28159
Yalobusha,0,28161
Yazoo,5,28163
